s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
XZCETH,TRADING,XZC,ETH,,Ξ,0.01,0.000001,Firo,Ethereum,0.007011,0.007198,0.006857,0.006924,5498.33,38.78702132,0,5498.33,ALTS,ALTS,11182443,"[""pow"",""mining-zone""]",,,
XZCBTC,TRADING,XZC,BTC,,฿,0.01,1e-7,Firo,Bitcoin,0.0002208,0.000226,0.0002145,0.0002161,58804.55,12.93566675,0,58804.55,BTC,BTC,11182443,"[""pow"",""mining-zone""]",,,
XVSUSDT,TRADING,XVS,USDT,,,0.001,0.001,Venus,TetherUS,3.1,3.3,3.015,3.224,625340.68,1978827.105227,0,625340.68,USDⓈ,USDⓈ,,"[""innovation-zone"",""defi""]",,,
XVSBUSD,TRADING,XVS,BUSD,,,0.001,0.001,Venus,BUSD,3.106,3.3,3.032,3.231,36072.156,113645.996399,0,36072.156,USDⓈ,USDⓈ,,"[""innovation-zone"",""defi""]",,,
XVSBTC,TRADING,XVS,BTC,,฿,0.01,1e-7,Venus,Bitcoin,0.0001616,0.0001723,0.000158,0.000171,206720.41,34.49152252,0,206720.41,BTC,BTC,,"[""innovation-zone"",""defi""]",,,
XVSBNB,TRADING,XVS,BNB,,,0.01,0.0001,Venus,BNB,0.1018,0.1077,0.1001,0.1068,69838.26,7268.628439,0,69838.26,BNB,BNB,,"[""innovation-zone"",""defi""]",,,
XVGBTC,TRADING,XVG,BTC,,฿,1,1e-8,Verge,Bitcoin,3.8e-7,4e-7,3.6e-7,3.8e-7,295209987,113.83969618,0,295209987,BTC,BTC,16397176943,"[""pow"",""mining-zone""]",,,
YFIUSDT,TRADING,YFI,USDT,,,0.000001,0.01,yearn.finance,TetherUS,26431.61,30100,25335.24,29439.58,4579.46,127788459.82709011,0,4579.45065,USDⓈ,USDⓈ,,"[""defi""]",,,
YOYOBTC,TRADING,YOYO,BTC,,฿,1,1e-8,YOYOW,Bitcoin,4.6e-7,5.4e-7,4.5e-7,5.1e-7,14106273,6.99804982,0,14106273,BTC,BTC,488145279,"[""pow"",""mining-zone""]",,,
ZILBIDR,TRADING,ZIL,BIDR,1,,1,0.01,Zilliqa,BIDR,401.56,469.85,401.56,449,914309,409630174.2,0,914309,USDⓈ,USDⓈ,10702658771,"[""pow"",""mining-zone""]",,,
ZILBNB,TRADING,ZIL,BNB,1,,1,1e-7,Zilliqa,BNB,0.0009528,0.0010979,0.0009273,0.0010358,3390005,3372.4793527,0,3390005,BNB,BNB,10702658771,"[""pow"",""mining-zone""]",,,
