s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
ICXUSDT,TRADING,ICX,USDT,,,0.01,0.0001,ICON,TetherUS,0.4101,0.4294,0.4052,0.419,3913799.06,1633010.095409,0,3913799.06,USDⓈ,USDⓈ,387431340,"[""pos""]",,,
IDEXBTC,TRADING,IDEX,BTC,,฿,1,1e-8,IDEX,Bitcoin,0.00000183,0.00000203,0.00000167,0.00000175,12207619,22.06462976,0,12207619,BTC,BTC,,"[""defi""]",,,
IDEXBUSD,TRADING,IDEX,BUSD,,,0.1,0.00001,IDEX,BUSD,0.03511,0.0389,0.0327,0.0334,1485989.6,51428.962179,0,1485989.6,USDⓈ,USDⓈ,,"[""defi""]",,,
INJBNB,TRADING,INJ,BNB,,,0.1,0.00001,Injective Protocol,BNB,0.05479,0.0589,0.052,0.05851,155634.8,8577.014286,0,155634.8,BNB,BNB,,"[""defi"",""pos""]",,,
INJBTC,TRADING,INJ,BTC,,฿,0.1,1e-8,Injective Protocol,Bitcoin,0.00008384,0.00009015,0.0000789,0.00008991,715688.4,60.57668526,0,715688.4,BTC,BTC,,"[""defi"",""pos""]",,,
INJBUSD,TRADING,INJ,BUSD,,,0.01,0.0001,Injective Protocol,BUSD,1.6014,1.7201,1.5277,1.7073,166094.62,269636.965831,0,166094.62,USDⓈ,USDⓈ,,"[""defi"",""pos""]",,,
INJUSDT,TRADING,INJ,USDT,,,0.01,0.0001,Injective Protocol,TetherUS,1.6038,1.72,1.5232,1.7127,1598106.68,2588787.39265,0,1598106.68,USDⓈ,USDⓈ,,"[""defi"",""pos""]",,,
IOSTBNB,TRADING,IOST,BNB,,,1,1e-7,IOST,BNB,0.0002044,0.0002063,0.0002005,0.0002022,6868686,1400.1582417,0,6868686,BNB,BNB,12003807131,"[""pos""]",,,
IOSTBTC,TRADING,IOST,BTC,,฿,1,1e-8,IOST,Bitcoin,3.2e-7,3.2e-7,3e-7,3.1e-7,163480308,50.67082632,0,163480308,BTC,BTC,12003807131,"[""pos""]",,,
IOSTETH,TRADING,IOST,ETH,,Ξ,1,1e-8,IOST,Ethereum,0.00001006,0.00001023,0.00000996,0.0000101,14195155,142.94179927,0,14195155,ALTS,ALTS,12003807131,"[""pos""]",,,
IOSTUSDT,TRADING,IOST,USDT,,,1,0.000001,IOST,TetherUS,0.005993,0.006045,0.005836,0.005937,460043570,2745979.778873,0,460043570,USDⓈ,USDⓈ,12003807131,"[""pos""]",,,
IOTABNB,TRADING,IOTA,BNB,,,0.1,0.00001,MIOTA,BNB,0.01135,0.01165,0.01067,0.01082,348348.5,3890.216447,0,348348.5,BNB,BNB,2779530283,"[""pow""]",,,
IOTABUSD,TRADING,IOTA,BUSD,,,0.01,0.0001,MIOTA,BUSD,0.3324,0.3395,0.3117,0.3169,330940.44,108064.541902,0,330940.44,USDⓈ,USDⓈ,2779530283,"[""pow""]",,,
IOTAUSDT,TRADING,IOTA,USDT,,,0.01,0.0001,MIOTA,TetherUS,0.332,0.3391,0.3042,0.3177,19042723.23,6177551.59783,0,19042723.23,USDⓈ,USDⓈ,2779530283,"[""pow""]",,,
IOTXBTC,TRADING,IOTX,BTC,,฿,1,1e-8,IoTeX,Bitcoin,3.8e-7,3.9e-7,3.7e-7,3.8e-7,18129321,6.85080198,0,18129321,BTC,BTC,9644304442,"[""pos"",""mining-zone""]",,,
IOTXETH,TRADING,IOTX,ETH,,Ξ,1,1e-8,IoTeX,Ethereum,0.00001227,0.00001258,0.0000119,0.00001219,5761633,70.70502551,0,5761633,ALTS,ALTS,9644304442,"[""pos"",""mining-zone""]",,,
IOTXUSDT,TRADING,IOTX,USDT,,,1,0.000001,IoTeX,TetherUS,0.007335,0.007453,0.00703,0.007182,38697921,282985.044124,0,38697921,USDⓈ,USDⓈ,9644304442,"[""pos"",""mining-zone""]",,,
IQBNB,TRADING,IQ,BNB,,,1,1e-7,Everipedia,BNB,0.000089,0.0000956,0.0000886,0.0000921,18119431,1678.4844888,0,18119431,BNB,BNB,,[],,,
IQBUSD,TRADING,IQ,BUSD,,,1,0.000001,Everipedia,BUSD,0.00261,0.0028,0.002608,0.002702,77562587,208309.173722,0,77562587,USDⓈ,USDⓈ,,[],,,
IRISBNB,TRADING,IRIS,BNB,,,1,0.000001,IRISnet,BNB,0.00198,0.002068,0.00193,0.001957,472498,938.188821,0,472498,BNB,BNB,,"[""pos"",""mining-zone""]",,,
IRISBTC,TRADING,IRIS,BTC,,฿,1,1e-8,IRISnet,Bitcoin,0.00000304,0.00000317,0.00000293,0.00000303,7485315,22.7473057,0,7485315,BTC,BTC,,"[""pos"",""mining-zone""]",,,
IRISUSDT,TRADING,IRIS,USDT,,,0.1,0.00001,IRISnet,TetherUS,0.05811,0.06085,0.05638,0.05783,8189376.5,478253.25922,0,8189376.5,USDⓈ,USDⓈ,,"[""pos"",""mining-zone""]",,,
JSTBNB,TRADING,JST,BNB,,,1,0.000001,JUST,BNB,0.001022,0.001029,0.000949,0.000971,1742221,1696.432312,0,1742221,BNB,BNB,,"[""defi""]",,,
JSTBTC,TRADING,JST,BTC,,฿,1,1e-8,JUST,Bitcoin,0.00000156,0.00000157,0.00000145,0.00000148,17536826,26.10196236,0,17536826,BTC,BTC,,"[""defi""]",,,
JSTUSDT,TRADING,JST,USDT,,,0.1,0.00001,JUST,TetherUS,0.02992,0.0302,0.02778,0.02841,90732874.3,2597012.856858,0,90732874.3,USDⓈ,USDⓈ,,"[""defi""]",,,
KAVABNB,TRADING,KAVA,BNB,,,0.1,0.00001,Kava,BNB,0.05652,0.05727,0.05545,0.057,9876.7,556.082271,0,9876.7,BNB,BNB,27190672,"[""defi"",""pos"",""mining-zone""]",,,
KAVABTC,TRADING,KAVA,BTC,,฿,1,1e-8,Kava,Bitcoin,0.00008643,0.00008787,0.0000845,0.00008771,175658,15.089144,0,175658,BTC,BTC,27190672,"[""defi"",""pos"",""mining-zone""]",,,
KAVAUSDT,TRADING,KAVA,USDT,,,0.01,0.0001,Kava,TetherUS,1.6511,1.6833,1.6178,1.6724,1144612.16,1890194.138734,0,1144612.16,USDⓈ,USDⓈ,27190672,"[""defi"",""pos"",""mining-zone""]",,,
KEYETH,TRADING,KEY,ETH,,Ξ,1,1e-8,Selfkey,Ethereum,0.00000428,0.00000445,0.00000423,0.0000043,16929964,73.91621777,0,16929964,ALTS,ALTS,3512807380,[],,,
KEYUSDT,TRADING,KEY,USDT,,,1,0.000001,Selfkey,TetherUS,0.002547,0.002655,0.002503,0.002537,119430803,306240.704059,0,119430803,USDⓈ,USDⓈ,3512807380,[],,,
KMDBTC,TRADING,KMD,BTC,,฿,0.01,1e-7,Komodo,Bitcoin,0.0000295,0.0000309,0.0000292,0.0000303,467091.05,14.06376279,0,467091.05,BTC,BTC,123033324,"[""pow"",""mining-zone""]",,,
